connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
334;48.63426831143351,2.4525733922724493;"{""coordinates"": [2.452573392272449, 48.63426831143351], ""type"": ""Point""}";276;Évry;Val de Seine;;60522;Évry;45745;Évry;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;659662.2083;6837260.3503;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Évry
609;48.62590139398081,2.430155386011356;"{""coordinates"": [2.430155386011356, 48.62590139398081], ""type"": ""Point""}";277;Évry Courcouronnes;Centre;;60450;Évry - Courcouronnes;47906;Évry - Courcouronnes;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;658003.6258;6836341.8839;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Évry Courcouronnes
534;48.53150198555095,2.370518497736707;"{""coordinates"": [2.370518497736707, 48.53150198555095], ""type"": ""Point""}";48;Ballancourt;;;59825;Ballancourt;43087;Ballancourt;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;653524.9404;6825881.3486;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Ballancourt
117;48.34166354368213,2.37881544331189;"{""coordinates"": [2.37881544331189, 48.34166354368213], ""type"": ""Point""}";81;Boigneville;;;59420;Boigneville;43092;Boigneville;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;653971.4951;6804775.4462;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boigneville
672;48.529746917640566,2.572073662735742;"{""coordinates"": [2.572073662735742, 48.529746917640566], ""type"": ""Point""}";85;Boissise-le-Roi;;;61943;Boissise-le-Roi;45763;Boissise-le-Roi;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;668404.6619;6825586.6129;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boissise-le-Roi
114;48.68101661540746,2.533130656571037;"{""coordinates"": [2.533130656571037, 48.68101661540746], ""type"": ""Point""}";105;Boussy-Saint-Antoine;;;62596;Boussy-Saint-Antoine;47924;Boussy-Saint-Antoine;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;665628.8216;6842419.4146;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boussy-Saint-Antoine
396;48.43449061192662,2.376672818506991;"{""coordinates"": [2.376672818506991, 48.43449061192662], ""type"": ""Point""}";106;Boutigny;;;59565;Boutigny;47895;Boutigny;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;653894.1827;6815094.2882;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boutigny
924;48.69910694601902,2.506676982547087;"{""coordinates"": [2.506676982547087, 48.69910694601902], ""type"": ""Point""}";114;Brunoy;;;67476;Brunoy;58873;Brunoy;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;663693.8776;6844442.4782;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Brunoy
503;48.371383291366385,2.3872097971981003;"{""coordinates"": [2.3872097971981, 48.371383291366385], ""type"": ""Point""}";117;Buno-Gironville;;;59447;Buno - Gironville;43102;Buno - Gironville;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;654619.1223;6808073.8171;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Buno-Gironville
787;48.56494949473517,2.594551816007612;"{""coordinates"": [2.594551816007612, 48.56494949473517], ""type"": ""Point""}";135;Cesson;;;62176;Cesson;42516;Cesson;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;670084.3833;6829491.1237;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Cesson
310;48.861822271863645,2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271863645], ""type"": ""Point""}";170;Châtelet-Les Halles;;;474151;Châtelet les Halles;45102;Châtelet les Halles;A01842;C01728;RER D;D;RER;0;0;0;0;0;RATP;green;1;1;652093.2251;6862619.0666;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Châtelet-Les Halles
1053;49.1870872042629,2.459549118844452;"{""coordinates"": [2.459549118844452, 49.1870872042629], ""type"": ""Point""}";1052;Chantilly-Gouvieux;;;411429;Chantilly - Gouvieux;411428;Chantilly - Gouvieux;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;0;0;660596.9644;6898729.3457;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Chantilly-Gouvieux
105;48.66790196011456,2.547548045814365;"{""coordinates"": [2.547548045814365, 48.66790196011456], ""type"": ""Point""}";196;Combs-la-Ville - Quincy;;;62558;Combs-la-Ville - Quincy;45771;Combs-la-Ville - Quincy;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;666681.8714;6840955.207;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Combs-la-Ville - Quincy
428;48.613427912659176,2.472933650458743;"{""coordinates"": [2.472933650458743, 48.613427912659176], ""type"": ""Point""}";207;Corbeil-Essonnes;;;60309;Corbeil-Essonnes;43115;Corbeil-Essonnes;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;661146.991;6834933.3117;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Corbeil-Essonnes
276;48.613427912659176,2.472933650458743;"{""coordinates"": [2.472933650458743, 48.613427912659176], ""type"": ""Point""}";207;Corbeil-Essonnes;;;60309;Corbeil-Essonnes;43115;Corbeil-Essonnes;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;661146.991;6834933.3117;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Corbeil-Essonnes
437;48.77126603718618,2.435306339706322;"{""coordinates"": [2.435306339706322, 48.77126603718618], ""type"": ""Point""}";1159;Créteil Pompadour;;;69950;Créteil Pompadour;46286;Créteil Pompadour;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;658498.8113;6852500.3354;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Créteil Pompadour
;49.26394414357276,2.4689141153510383;"{""coordinates"": [2.468914115351038, 49.26394414357276], ""type"": ""Point""}";1053;Creil;;;411441;Creil;411440;Creil;A01842;C01728;RER D;D;RER;0;RER D;0;0;0;SNCF;green;0;0;661337.2338;6907273.6537;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Creil
207;48.60555582544281,2.462456492779696;"{""coordinates"": [2.462456492779696, 48.60555582544281], ""type"": ""Point""}";270;Essonnes-Robinson;;;422776;Essonnes Robinson;45759;Essonnes Robinson;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;660368.7153;6834063.3879;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Essonnes-Robinson
170;48.8437725759169,2.373916469806498;"{""coordinates"": [2.373916469806498, 48.8437725759169], ""type"": ""Point""}";307;Gare de Lyon;;;73626;Gare de Lyon;470195;Gare de Lyon;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;654051.0804;6860596.114;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Gare de Lyon
806;48.881759488218286,2.357570193470876;"{""coordinates"": [2.357570193470876, 48.881759488218286], ""type"": ""Point""}";310;Gare du Nord;;;478733;Gare du Nord;58572;Magenta;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;652885.8018;6864829.5892;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Gare du Nord
909;48.97674784735997,2.3905936526418374;"{""coordinates"": [2.390593652641837, 48.97674784735997], ""type"": ""Point""}";322;Garges-Sarcelles;;;65582;Garges - Sarcelles;43251;Garges - Sarcelles;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;655389.1309;6875373.0102;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Garges-Sarcelles
452;49.02316199809731,2.462168966135234;"{""coordinates"": [2.462168966135234, 49.02316199809731], ""type"": ""Point""}";333;Goussainville;;;66535;Goussainville;47876;Goussainville;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;660663.7877;6880496.5332;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Goussainville
740;48.64848911165158,2.4353305301813037;"{""coordinates"": [2.435330530181304, 48.64848911165158], ""type"": ""Point""}";334;Grand-Bourg;;;73627;Grand Bourg;45860;Grand Bourg;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;658402.9742;6838850.2443;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Grand-Bourg
917;48.65484933449465,2.39678350341544;"{""coordinates"": [2.39678350341544, 48.65484933449465], ""type"": ""Point""}";337;Grigny-Centre;;;60797;Grigny Centre;43132;Grigny Centre;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;655568.8183;6839578.3224;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Grigny-Centre
893;48.689567256029264,2.383833358799738;"{""coordinates"": [2.383833358799738, 48.689567256029264], ""type"": ""Point""}";387;Juvisy;;;478505;Juvisy;45739;Juvisy;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;654645.0864;6843445.4096;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Juvisy
;48.689567256029264,2.383833358799738;"{""coordinates"": [2.383833358799738, 48.689567256029264], ""type"": ""Point""}";387;Juvisy;;;478505;Juvisy;45739;Juvisy;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;1;654645.0864;6843445.4096;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Juvisy
957;49.126209959725394,2.5070138416038654;"{""coordinates"": [2.507013841603865, 49.126209959725394], ""type"": ""Point""}";958;La Borne Blanche;;;411419;La Borne Blanche;411418;La Borne Blanche;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;0;0;664015.1873;6891935.6596;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;La Borne Blanche
48;48.48551429888663,2.3521938145868435;"{""coordinates"": [2.352193814586844, 48.48551429888663], ""type"": ""Point""}";396;La Ferté-Alais;;;59661;La Ferté-Alais;43142;La Ferté-Alais;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;652130.1071;6820780.3661;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;La Ferté-Alais
277;48.62333224013671,2.451409095593274;"{""coordinates"": [2.451409095593274, 48.62333224013671], ""type"": ""Point""}";428;Le Bras-de-Fer;Évry Génopôle;;60422;Le Bras de Fer;45850;Le Bras de Fer;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;659567.9704;6836045.1779;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Le Bras-de-Fer
433;48.56611781980045,2.492713002881577;"{""coordinates"": [2.492713002881577, 48.56611781980045], ""type"": ""Point""}";214;Le Coudray-Montceaux;;;59953;Le Coudray-Montceaux;45824;Le Coudray-Montceaux;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;662571.2287;6829664.4286;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Le Coudray-Montceaux
135;48.53877525569195,2.6255221550663017;"{""coordinates"": [2.625522155066302, 48.53877525569195], ""type"": ""Point""}";430;Le Mée;;;62003;Le Mée;45784;Le Mée;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;green;1;0;672355.684;6826570.1821;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Le Mée
